Field	Time	PELO_X	PELO_Y	PELO_Z	PELP_X	PELP_Y	PELP_Z	LTOO_X	LTOO_Y	LTOO_Z	RTOO_X	RTOO_Y	RTOO_Z	LHJC_X	LHJC_Y	LHJC_Z	RHJC_X	RHJC_Y	RHJC_Z	LKJC_X	LKJC_Y	LKJC_Z	RKJC_X	RKJC_Y	RKJC_Z	LAJC_X	LAJC_Y	LAJC_Z	RAJC_X	RAJC_Y	RAJC_Z	TRXO_X	TRXO_Y	TRXO_Z	TRXP_X	TRXP_Y	TRXP_Z
1	0.0000	0.866550	-314.334381	894.044189	3.909135	-282.165436	1037.857178	-152.989960	-131.374847	60.018829	190.009216	-172.668045	64.597160	-72.544975	-320.131317	896.995972	74.278076	-308.537415	891.092407	-115.853455	-302.488953	487.188171	115.625702	-312.661346	475.332245	-124.653656	-289.359039	70.591393	130.113770	-325.856781	73.148254	-13.158529	-118.083626	1343.256592	-12.280763	-201.076447	1162.263184
2	0.0100	0.772518	-313.399445	894.084900	3.922646	-281.926666	1038.049561	-153.009628	-131.309464	60.020023	190.018829	-172.641693	64.585167	-72.642593	-319.144440	897.049072	74.187630	-307.654449	891.120728	-115.850876	-302.229584	487.203796	115.408699	-312.498779	475.385284	-124.666794	-289.293457	70.577950	130.074265	-325.811096	73.138428	-13.027095	-119.748489	1344.033447	-12.131516	-201.793640	1162.626831
3	0.0200	0.677498	-312.483002	894.122070	3.932276	-281.686829	1038.230713	-153.024994	-131.248413	60.021091	190.024567	-172.615906	64.577919	-72.741570	-318.171356	897.097656	74.096558	-306.794617	891.146545	-115.851181	-301.977478	487.220734	115.207970	-312.306580	475.432312	-124.677994	-289.232635	70.564590	130.035812	-325.768158	73.128029	-12.890633	-121.370094	1344.789063	-11.986541	-202.487000	1162.985352
4	0.0300	0.581661	-311.585175	894.155701	3.938004	-281.445648	1038.400757	-153.036102	-131.191681	60.022007	190.026672	-172.590485	64.575294	-72.841705	-317.212311	897.141541	74.005020	-305.958038	891.169861	-115.854385	-301.732849	487.238861	115.023521	-312.084534	475.473389	-124.687218	-289.176483	70.551346	129.998535	-325.727783	73.117012	-12.749163	-122.948456	1345.523071	-11.845931	-203.156754	1163.338135
5	0.0400	0.485128	-310.706024	894.185547	3.939847	-281.203125	1038.559814	-153.043015	-131.139404	60.022800	190.025818	-172.564850	64.576744	-72.942879	-316.267395	897.180603	73.913124	-305.144653	891.190552	-115.860466	-301.495911	487.258118	114.855133	-311.831757	475.508575	-124.694427	-289.125214	70.538239	129.962784	-325.689209	73.105309	-12.602750	-124.483589	1346.235840	-11.709620	-203.802979	1163.685547
6	0.0500	0.388025	-309.845306	894.211731	3.937726	-280.958740	1038.708252	-153.045929	-131.091766	60.023438	190.023285	-172.538010	64.581360	-73.044922	-315.336548	897.214905	73.820969	-304.354065	891.208557	-115.869461	-301.267120	487.278473	114.702347	-311.546967	475.538239	-124.699600	-289.078857	70.525330	129.929245	-325.651184	73.092804	-12.451530	-125.975502	1346.927246	-11.577679	-204.425751	1164.026855
7	0.0600	0.290708	-309.002625	894.234131	3.931673	-280.711945	1038.846191	-153.045059	-131.048965	60.023956	190.020676	-172.508728	64.587914	-73.147469	-314.419647	897.244202	73.728882	-303.585602	891.223999	-115.881325	-301.046906	487.299561	114.564354	-311.229431	475.562744	-124.702721	-289.037689	70.512680	129.898712	-325.612030	73.079384	-12.295736	-127.424255	1347.597534	-11.450044	-205.025024	1164.362305
8	0.0700	0.193406	-308.177124	894.252869	3.921718	-280.461639	1038.974121	-153.040848	-131.011230	60.024368	190.019958	-172.475586	64.594910	-73.250237	-313.516357	897.268738	73.637047	-302.837952	891.237000	-115.896065	-300.835968	487.321259	114.439980	-310.878937	475.582764	-124.703812	-289.001709	70.500389	129.872162	-325.569885	73.064964	-12.135733	-128.829880	1348.247070	-11.326769	-205.600632	1164.692017
9	0.0800	0.096564	-307.367615	894.268005	3.907786	-280.206604	1039.092163	-153.033737	-130.978836	60.024723	190.023041	-172.437469	64.600952	-73.352730	-312.625916	897.288330	73.545860	-302.109344	891.247742	-115.913605	-300.634735	487.343140	114.327606	-310.497192	475.598969	-124.702927	-288.971252	70.488525	129.850311	-325.523193	73.049469	-11.972032	-130.192490	1348.875854	-11.207946	-206.152435	1165.015259
10	0.0900	0.000578	-306.572479	894.279846	3.889872	-279.944946	1039.201050	-153.024292	-130.951920	60.025032	190.031525	-172.393494	64.604736	-73.454498	-311.747528	897.303162	73.455658	-301.397430	891.256531	-115.933861	-300.443726	487.364807	114.225204	-310.088257	475.612152	-124.700211	-288.946320	70.477188	129.833786	-325.470520	73.032990	-11.805305	-131.512207	1349.484497	-11.093490	-206.680008	1165.332275
11	0.1000	-0.094065	-305.789734	894.288513	3.868098	-279.674866	1039.300903	-153.013123	-130.930557	60.025330	190.046417	-172.343552	64.605415	-73.555000	-310.880005	897.313477	73.366875	-300.699432	891.263550	-115.956635	-300.263123	487.385834	114.130447	-309.658508	475.623260	-124.695877	-288.926910	70.466446	129.822678	-325.411316	73.015671	-11.636398	-132.789246	1350.073242	-10.983625	-207.182922	1165.642578
12	0.1100	-0.186896	-305.016907	894.294495	3.842482	-279.393921	1039.392700	-153.000839	-130.914581	60.025600	190.068024	-172.288147	64.602608	-73.653687	-310.021912	897.319580	73.279892	-300.011902	891.269470	-115.981728	-300.092773	487.405884	114.040695	-309.216797	475.633118	-124.690239	-288.912811	70.456329	129.816574	-325.345856	72.997765	-11.466311	-134.023819	1350.642822	-10.878253	-207.661011	1165.946289
13	0.1200	-0.277453	-304.251404	894.298035	3.813217	-279.099762	1039.477051	-152.988068	-130.903503	60.025764	190.095993	-172.228317	64.596428	-73.750031	-309.171631	897.321594	73.195122	-299.331177	891.274475	-116.008820	-299.932007	487.424744	113.953270	-308.773224	475.642670	-124.683708	-288.903473	70.446838	129.814789	-325.274933	72.979599	-11.296192	-135.216263	1351.193481	-10.777591	-208.113434	1166.242676
