Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
1	148.916726	-295.241432	-0.164188	202.900341	-304.364990	-0.079583	-21.186025	5.822096	282.923307	2580.378454	15275.474140	809.730118	-125.577661	-266.365895	-0.099257	-199.669022	-305.422272	-0.130892	21.724941	-8.624703	338.355677	13216.405965	-25069.192743	-3466.092712
2	149.548501	-296.796293	-0.162486	202.900341	-304.364990	-0.079583	-20.654203	5.736436	282.924138	2140.419635	15096.708351	809.165074	-126.401843	-266.660736	-0.099655	-199.669022	-305.422272	-0.130892	21.635338	-8.536008	339.774540	13171.605462	-24894.277131	-3391.833795
3	148.686107	-296.820279	-0.163754	202.900341	-304.364990	-0.079583	-21.185270	5.468942	283.631734	2138.893443	15379.153948	864.826038	-126.147306	-266.416899	-0.099582	-199.669022	-305.422272	-0.130892	21.637713	-8.978955	337.646268	13171.409254	-24824.261278	-3354.685437
4	149.236599	-295.874006	-0.163403	202.900341	-304.364990	-0.079583	-20.744647	6.001284	283.278000	2404.476967	15203.939792	753.701862	-125.837603	-265.891012	-0.099568	-199.669022	-305.422272	-0.130892	21.282260	-8.449134	337.645882	13348.975622	-24928.832370	-3373.130448
5	149.374038	-294.833025	-0.163711	202.900341	-304.364990	-0.079583	-20.743587	5.383353	284.694781	2712.596406	15240.921090	958.749608	-126.173763	-266.376136	-0.099611	-199.669022	-305.422272	-0.130892	21.549392	-8.979291	337.291510	13171.311150	-24789.253351	-3336.111258
6	148.661791	-296.312552	-0.164040	202.900341	-304.364990	-0.079583	-20.740812	5.558885	282.215844	2271.456491	15309.240810	902.258926	-125.656563	-265.883326	-0.099462	-199.669022	-305.422272	-0.130892	21.636415	-8.713256	338.710390	13393.670784	-25068.733962	-3410.229250
7	148.321392	-296.221495	-0.164590	202.900341	-304.364990	-0.079583	-20.831171	5.294351	284.340568	2314.459984	15521.283678	902.218471	-126.069263	-266.146079	-0.099624	-199.669022	-305.422272	-0.130892	21.192869	-8.360556	338.710008	13304.655455	-24928.942491	-3373.156983
8	149.358020	-295.250925	-0.163529	202.900341	-304.364990	-0.079583	-21.361414	5.379488	283.277391	2580.836902	15169.594774	865.584997	-125.916476	-265.635097	-0.099699	-199.669022	-305.422272	-0.130892	21.104293	-7.830773	336.581394	13393.062073	-24823.728876	-3410.309817
9	148.527754	-296.762059	-0.164018	202.900341	-304.364990	-0.079583	-20.652553	5.824115	281.507623	2139.226695	15308.555627	883.462225	-125.965553	-266.638471	-0.099400	-199.669022	-305.422272	-0.130892	21.193720	-8.361020	337.291094	13082.798615	-24859.459058	-3280.383273
10	148.738172	-295.876553	-0.164141	202.900341	-304.364990	-0.079583	-21.008072	5.558049	283.277827	2403.617245	15345.195583	846.634832	-126.662462	-266.188455	-0.099966	-199.669022	-305.422272	-0.130892	21.014050	-7.741731	339.064435	13304.254061	-24753.945671	-3428.971845
11	148.738172	-295.876553	-0.164141	202.900341	-304.364990	-0.079583	-21.361414	5.379488	283.277391	2403.534426	15345.223025	902.437252	-125.914442	-266.194779	-0.099515	-199.669022	-305.422272	-0.130892	20.751066	-8.538788	338.000329	13260.285834	-24929.028288	-3298.839789
12	148.524552	-296.135707	-0.164331	202.900341	-304.364990	-0.079583	-20.650294	5.382238	281.507843	2315.487323	15309.484451	939.525736	-126.094246	-266.629184	-0.099481	-199.669022	-305.422272	-0.130892	21.016233	-8.449562	338.355195	13127.269270	-24894.381181	-3373.274644
13	149.218221	-295.986452	-0.163375	202.900341	-304.364990	-0.079583	-20.828395	5.469882	281.861662	2360.586145	15133.161862	865.276033	-126.665343	-266.549470	-0.099849	-199.669022	-305.422272	-0.130892	20.483920	-7.831965	337.645201	13126.627096	-24649.344171	-3317.597905
14	149.612802	-296.338926	-0.162616	202.900341	-304.364990	-0.079583	-21.006266	5.204548	283.278004	2272.649431	15097.393533	827.961531	-126.013153	-267.300443	-0.099212	-199.669022	-305.422272	-0.130892	20.659511	-8.007379	340.837961	12994.761132	-25104.684401	-3280.355780
15	149.342643	-295.829420	-0.163267	202.900341	-304.364990	-0.079583	-20.918313	5.734556	281.861399	2404.769778	15098.115311	921.161399	-127.095097	-266.963352	-0.099971	-199.669022	-305.422272	-0.130892	20.572063	-8.273181	340.128523	13082.330365	-24684.425734	-3224.683758
16	149.104500	-296.320727	-0.163379	202.900341	-304.364990	-0.079583	-21.269995	5.026091	282.569447	2272.025347	15203.327784	883.711065	-126.400871	-267.052115	-0.099526	-199.669022	-305.422272	-0.130892	20.659051	-7.565478	339.773637	13038.553290	-24894.564941	-3261.812610
17	148.373991	-295.778688	-0.164730	202.900341	-304.364990	-0.079583	-21.093710	5.909530	280.090420	2403.840058	15274.636782	939.674001	-126.095401	-266.729700	-0.099448	-199.669022	-305.422272	-0.130892	20.749067	-7.477737	336.935802	13038.336976	-24789.583750	-3336.190872
18	148.767314	-294.568534	-0.164741	202.900341	-304.364990	-0.079583	-20.829225	5.734834	281.507404	2756.792875	15241.109847	884.411944	-126.279191	-265.719307	-0.099889	-199.669022	-305.422272	-0.130892	20.483034	-7.389831	337.290350	13392.832422	-24753.688912	-3317.404150
19	149.004916	-295.932848	-0.163717	202.900341	-304.364990	-0.079583	-20.828026	5.910888	280.090814	2360.600916	15097.917407	976.898196	-125.369846	-266.070103	-0.099229	-199.669022	-305.422272	-0.130892	20.572439	-7.655077	336.935754	13260.557842	-25034.032088	-3317.391682
20	149.024496	-295.819965	-0.163744	202.900341	-304.364990	-0.079583	-21.007703	5.999055	281.507009	2404.546960	15168.675089	828.122229	-125.240762	-265.979555	-0.099182	-199.669022	-305.422272	-0.130892	20.571786	-7.478061	337.290432	13305.067958	-25103.931723	-3335.928058
21	148.939918	-296.552492	-0.163509	202.900341	-304.364990	-0.079583	-20.826145	5.645588	279.736821	2184.312438	15096.997729	939.435552	-126.403950	-266.891967	-0.099580	-199.669022	-305.422272	-0.130892	20.392983	-7.035903	338.354359	13038.392690	-24789.614170	-3429.119561
