Field	Time	LHJC_X	LHJC_Y	LHJC_Z	RHJC_X	RHJC_Y	RHJC_Z	LKJC_X	LKJC_Y	LKJC_Z	RKJC_X	RKJC_Y	RKJC_Z	LAJC_X	LAJC_Y	LAJC_Z	RAJC_X	RAJC_Y	RAJC_Z	LTOO_X	LTOO_Y	LTOO_Z	PELO_X	PELO_Y	PELO_Z	PELP_X	PELP_Y	PELP_Z	RTOO_X	RTOO_Y	RTOO_Z	TRXO_X	TRXO_Y	TRXO_Z	TRXP_X	TRXP_Y	TRXP_Z
1	0.0000	-56.733753	-281.019196	887.399902	90.520630	-275.446228	884.027893	-103.030098	-333.893829	484.637421	110.311981	-351.073547	476.270966	-115.772346	-313.697052	70.524078	119.513367	-345.766998	73.488487	-137.500702	-154.648071	58.388790	16.893438	-278.232758	885.714050	19.360920	-260.190277	1031.983154	197.326401	-200.360428	63.620010	4.433599	-243.189209	1379.438232	1.896352	-244.912643	1182.350464
2	0.0100	-56.754288	-280.920166	887.417664	90.503456	-275.443787	884.034241	-103.017616	-333.653931	484.649994	110.316162	-350.995880	476.278839	-115.762474	-313.705963	70.514732	119.481125	-345.776398	73.500801	-137.512512	-154.658325	58.400730	16.874586	-278.182068	885.725952	19.367476	-260.195923	1032.001587	197.333267	-200.388672	63.663750	4.400053	-242.854294	1379.377075	1.970070	-244.772156	1182.261841
3	0.0200	-56.776615	-280.806671	887.434937	90.484596	-275.431610	884.040161	-103.008125	-333.419464	484.664459	110.317017	-350.895569	476.286804	-115.752914	-313.720123	70.505707	119.454872	-345.785980	73.512360	-137.523148	-154.673508	58.415154	16.853996	-278.119141	885.737671	19.372519	-260.184143	1032.019165	197.338516	-200.413040	63.706234	4.365097	-242.516815	1379.318970	2.038467	-244.619461	1182.181885
4	0.0300	-56.800758	-280.678558	887.451904	90.464035	-275.409546	884.045837	-103.001656	-333.190308	484.680817	110.314552	-350.772675	476.294800	-115.743660	-313.739655	70.497032	119.434601	-345.795746	73.523163	-137.532669	-154.693604	58.432022	16.831636	-278.044067	885.748840	19.375948	-260.155029	1032.035522	197.342239	-200.433563	63.747475	4.328740	-242.176788	1379.263672	2.101922	-244.455231	1182.110107
5	0.0400	-56.826580	-280.535919	887.468262	90.441872	-275.377716	884.051270	-102.998116	-332.966461	484.699036	110.308868	-350.627686	476.302856	-115.734726	-313.764404	70.488686	119.420235	-345.805634	73.533218	-137.541016	-154.718643	58.451286	16.807653	-277.956879	885.759888	19.377714	-260.108551	1032.051147	197.344452	-200.450363	63.787407	4.291025	-241.834259	1379.210938	2.160416	-244.279266	1182.046387
6	0.0500	-56.854076	-280.378754	887.484253	90.418129	-275.336029	884.056458	-102.997398	-332.747467	484.719086	110.300087	-350.461792	476.311096	-115.726074	-313.794220	70.480667	119.411629	-345.815704	73.542580	-137.548172	-154.748413	58.472923	16.782026	-277.857391	885.770508	19.378101	-260.044647	1032.065552	197.345184	-200.463470	63.826023	4.252027	-241.489304	1379.161743	2.213650	-244.091660	1181.991455
7	0.0600	-56.883007	-280.207123	887.499878	90.393013	-275.284454	884.061646	-102.999382	-332.532928	484.740906	110.288460	-350.276398	476.319458	-115.717674	-313.828949	70.472946	119.408447	-345.826172	73.551285	-137.554199	-154.782730	58.496750	16.755003	-277.745850	885.780884	19.376976	-259.963531	1032.079224	197.344360	-200.473328	63.863388	4.211878	-241.141953	1379.115234	2.261668	-243.892380	1181.943726
8	0.0700	-56.913189	-280.021057	887.515137	90.366707	-275.222900	884.066895	-103.003777	-332.322144	484.764465	110.274391	-350.074097	476.327972	-115.709450	-313.868134	70.465500	119.410286	-345.837219	73.559433	-137.559052	-154.821198	58.522636	16.726763	-277.621979	885.791138	19.374542	-259.865051	1032.092163	197.342163	-200.480301	63.899437	4.170778	-240.792419	1379.071533	2.304554	-243.682434	1181.902832
9	0.0800	-56.944302	-279.820587	887.530029	90.339516	-275.151184	884.072510	-103.010277	-332.114044	484.789642	110.258263	-349.857971	476.336792	-115.701324	-313.911377	70.458237	119.416534	-345.848999	73.567131	-137.562744	-154.863449	58.550369	16.697607	-277.485870	885.801392	19.370773	-259.749573	1032.104370	197.338455	-200.484970	63.934139	4.128990	-240.440903	1379.030762	2.342107	-243.461685	1181.868408
10	0.0900	-56.976006	-279.605804	887.544617	90.311768	-275.069214	884.078491	-103.018448	-331.907166	484.816315	110.240547	-349.631989	476.346008	-115.693230	-313.957855	70.451103	119.426414	-345.861908	73.574478	-137.565201	-154.908646	58.579594	16.667883	-277.337555	885.811707	19.366043	-259.617432	1032.116211	197.333435	-200.488159	63.967518	4.086857	-240.087555	1378.992310	2.374631	-243.230988	1181.838379
