Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
1	136.590639	-325.796645	-0.167456	202.900345	-304.364990	-0.079583	-14.606547	7.023734	321.177644	-6883.813469	21298.832096	-62.914464	-119.559716	-293.355086	-0.086814	-199.669022	-305.422272	-0.130892	12.971101	-2.381050	294.006853	3548.632800	-23552.491290	-1502.297336
2	136.039105	-325.731746	-0.168306	202.900345	-304.364990	-0.079583	-14.430557	7.554369	320.115295	-6840.406925	21405.002175	30.101670	-119.848266	-293.548829	-0.086924	-199.669022	-305.422272	-0.130892	13.412471	-2.114252	295.071209	3504.319381	-23552.607506	-1520.909563
3	136.879658	-325.497428	-0.167174	202.900345	-304.364990	-0.079583	-14.700594	7.378002	323.656184	-6840.171291	21369.681611	-7.082178	-119.353219	-292.961451	-0.086819	-199.669022	-305.422272	-0.130892	13.234312	-1.760777	295.425723	3682.052659	-23727.168377	-1520.745864
4	136.625582	-325.544326	-0.167528	202.900345	-304.364990	-0.079583	-14.434310	7.467387	322.948313	-6840.434531	21405.011322	48.702405	-120.892522	-293.038452	-0.087717	-199.669022	-305.422272	-0.130892	13.943715	-2.642935	297.200089	3681.292297	-23412.165915	-1558.021319
5	135.781902	-325.092020	-0.169002	202.900345	-304.364990	-0.079583	-14.343195	7.378768	321.531986	-6664.991977	21582.424059	48.875537	-119.418830	-293.218457	-0.086775	-199.669022	-305.422272	-0.130892	13.148175	-2.468944	294.361724	3593.163965	-23622.397237	-1558.005336
6	136.112982	-325.708137	-0.168208	202.900345	-304.364990	-0.079583	-13.898811	7.380509	320.470296	-6840.268896	21404.956438	-62.902028	-119.611409	-293.398018	-0.086831	-199.669022	-305.422272	-0.130892	12.970683	-2.469152	295.071060	3548.828993	-23622.501284	-1539.446184
7	136.951503	-325.677674	-0.166978	202.900345	-304.364990	-0.079583	-14.437915	7.556807	325.072992	-6928.702800	21439.843275	-7.248075	-120.727625	-292.994242	-0.087633	-199.669022	-305.422272	-0.130892	12.792758	-2.380794	296.135134	3681.205336	-23377.164072	-1558.032829
8	136.369894	-325.730055	-0.167816	202.900345	-304.364990	-0.079583	-13.987750	7.556632	320.115951	-6839.810487	21299.084884	-7.046925	-119.470210	-293.561909	-0.086693	-199.669022	-305.422272	-0.130892	13.146219	-1.937896	295.425728	3504.678350	-23692.613148	-1539.449703
9	135.969426	-326.235320	-0.168162	202.900345	-304.364990	-0.079583	-14.518363	7.200763	320.823591	-7017.055311	21474.694851	-7.396341	-120.255827	-293.809855	-0.087083	-199.669022	-305.422272	-0.130892	13.056855	-2.202653	297.908886	3460.299278	-23657.739692	-1595.244940
10	136.336058	-325.978639	-0.167744	202.900345	-304.364990	-0.079583	-14.611359	7.554683	322.593881	-6972.886205	21474.892757	-63.133243	-120.255457	-293.958645	-0.087034	-199.669022	-305.422272	-0.130892	13.411429	-2.378673	297.909156	3415.930145	-23657.825488	-1520.928111
11	136.958684	-326.296171	-0.166664	202.900345	-304.364990	-0.079583	-14.431829	7.290114	321.886025	-7059.822904	21227.327513	-44.539741	-120.211180	-293.391553	-0.087193	-199.669022	-305.422272	-0.130892	12.967677	-2.114191	298.618276	3593.458273	-23727.419064	-1613.727995
12	136.444784	-325.841430	-0.167650	202.900345	-304.364990	-0.079583	-14.522346	7.466760	322.594056	-6928.592376	21439.806686	-81.651045	-119.546758	-292.542262	-0.087073	-199.669022	-305.422272	-0.130892	13.499708	-1.848334	296.135384	3815.048630	-23726.850148	-1557.838117
13	136.223142	-325.295949	-0.168247	202.900345	-304.364990	-0.079583	-14.699017	7.377479	322.593838	-6752.554807	21511.294312	-118.626498	-120.115198	-293.971696	-0.086945	-199.669022	-305.422272	-0.130892	13.234149	-2.378997	298.263786	3416.081783	-23727.817005	-1483.733714
14	136.772049	-325.498277	-0.167333	202.900345	-304.364990	-0.079583	-15.141151	7.551444	321.530717	-6795.626593	21264.035406	48.838235	-119.524195	-292.706881	-0.087005	-199.669022	-305.422272	-0.130892	13.146240	-2.202898	296.490024	3770.844458	-23761.980375	-1613.610333
